feedback,category,sentiment
Library facilities are excellent in terms of good techniques that are used over there.,Library Facilities,Positive
"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",Library Facilities,Neutral
library has huge collection of books from different authors,Library Facilities,Positive
Yes,Library Facilities,Positive
Hardworking,Library Facilities,Positive
I am satisfied with the facilities but few books are limited of  database distribution,Library Facilities,Neutral
Its required some libral in rules,Library Facilities,Negative
Good,Library Facilities,Positive
good library facilities,Library Facilities,Positive
Library facilities are very good. No issues,Library Facilities,Positive
Excellent,Library Facilities,Positive
Again some of the faculties don't know how to behave otherwise it is good.,Library Facilities,Neutral
Descent.,Library Facilities,Positive
library is very well managed and provide needed facilities to us,Library Facilities,Positive
They are doing there job well,Library Facilities,Positive
"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",Library Facilities,Negative
all books are not available,Library Facilities,Negative
the system in library usually does not work . so it creates a problem for us to issue the book,Library Facilities,Negative
"Sometimes only book is available for some subjects
And it is reserved",Library Facilities,Negative
Its very helpful,Library Facilities,Positive
"Awesome, peaceful, relaxing atmosphere",Library Facilities,Positive
All books are not available,Library Facilities,Negative
I think number of books are very less according to the students .Only 2-3 copies are available.,Library Facilities,Negative
good,Library Facilities,Positive
Thats good,Library Facilities,Positive
I think stock is not enough more books are required.,Library Facilities,Negative
very cooperative,Library Facilities,Positive
Nice,Library Facilities,Positive
Satisfactory,Library Facilities,Positive
Fine,Library Facilities,Positive
library facilities provided are excellent,Library Facilities,Positive
good facilities,Library Facilities,Positive
average,Library Facilities,Neutral
better,Library Facilities,Positive
excellent,Library Facilities,Positive
some books are not available. So please provide,Library Facilities,Negative
there are doing there job good,Library Facilities,Positive
all are hardworking and punctual,Library Facilities,Positive
library is awesome and rich,Library Facilities,Positive
they are good,Library Facilities,Positive
library facility is good,Library Facilities,Positive
library facilities are good for students.,Library Facilities,Positive
very good library facilities. Issuing time of book must be increased,Library Facilities,Positive
more books should be provided and the issue period should be increased,Library Facilities,Negative
never went there,Library Facilities,Neutral
book issuing time should be increased for 2 weeks,Library Facilities,Negative
Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,Library Facilities,Neutral
Its good and proper design,Library Facilities,Positive
average,Library Facilities,Positive
library contains all the books regarding courses and other materials and very cooperative library staff,Library Facilities,Positive
all the books are easily available and accessable and the limit of book issued need to be increased,Library Facilities,Positive
all are good,Library Facilities,Positive
library facilities are good . Every book is available in the library,Library Facilities,Positive
"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",Library Facilities,Negative
books are less,Library Facilities,Negative
good.,Library Facilities,Positive
i love it,Library Facilities,Positive
i think library facilities are only for hostelers,Library Facilities,Negative
Capacity of library is less compared to size of university.,Library Facilities,Negative
library has providing excellent facilities,Library Facilities,Positive
It will provide us various books to increase our knowledge or to understand the  concept because it is good,Library Facilities,Positive
duration of issuing   books from library should be changed from 1week to 2 week that would be great.,Library Facilities,Negative
absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,Library Facilities,Negative
i dont think about,Library Facilities,Neutral
very good.,Library Facilities,Positive
very good,Library Facilities,Positive
It is excellent.,Library Facilities,Positive
GOOD,Library Facilities,Positive
library facilities need to be improve by bringing some more books,Library Facilities,Negative
EXELLENT,Library Facilities,Positive
Library facilities are the strength of this university. It is awesome.,Library Facilities,Positive
Almost each and every books is there.But the time limit for keeping book is too much shorted.,Library Facilities,Neutral
"waste ,library is not the good place to study",Library Facilities,Negative
It's good but we don't find the books because their are much less number of books,Library Facilities,Neutral
perfect,Library Facilities,Positive
They are good.,Library Facilities,Positive
it is very nice and timings of library is good 5/5,Library Facilities,Positive
"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues..............",Library Facilities,Neutral
Books are heavily outnumbered when compared to number of students this is the only problem with library.,Library Facilities,Neutral
Insufficient books,Library Facilities,Negative
"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",Library Facilities,Positive
insufficient books,Library Facilities,Negative
"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects",Library Facilities,Neutral
good enough.,Library Facilities,Positive
rough handling,Library Facilities,Negative
books are not available,Library Facilities,Negative
librery facilities are excellent,Library Facilities,Positive
Very rough handling,Library Facilities,Negative
library facilites are good,Library Facilities,Positive
yeah quite well but ... some of the books are not available,Library Facilities,Neutral
library facilities is good,Library Facilities,Positive
library facilty is good,Library Facilities,Positive
super,Library Facilities,Positive
"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me.",Library Facilities,Positive
uncertain,Library Facilities,Neutral
I like reading books in Library,Library Facilities,Positive
i felt its better because there is no problem from library facilities,Library Facilities,Positive
Average,Library Facilities,Neutral
Excellent     but sometimes lack of books especially during exam times,Library Facilities,Neutral
libary is giving a lot to us  but we are not getting it,Library Facilities,Neutral
"i've never went to library in lpu.so,i don't know about that.",Library Facilities,Neutral
I don't know abt that bcoz i didn't go to library till now.,Library Facilities,Neutral
facilities are good to overcome one's need,Library Facilities,Positive
Required text books are not available to every student,Library Facilities,Negative
Its good,Library Facilities,Positive
library facilities are excellent...but only limited books are available ..so books should be increased.,Library Facilities,Neutral
The library has insufficent number of books for all the students,Library Facilities,Negative
very good there we can find several course books and we can find several reference books also...,Library Facilities,Positive
Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available,Library Facilities,Neutral
fine,Library Facilities,Positive
VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,Library Facilities,Neutral
IT IS ALSO GOOD,Library Facilities,Positive
library facilities are not good.They are not following the rules( they are using phones in library).,Library Facilities,Negative
They are good,Library Facilities,Positive
We have a good library with all facalities.,Library Facilities,Positive
THEY IS NO PROBLEM WITH THEM,Library Facilities,Negative
extracurricular activities are excellent and provides best platform to students.,Extra-Curricular Activities,Positive
Good,Extra-Curricular Activities,Positive
Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.,Extra-Curricular Activities,Positive
Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,Extra-Curricular Activities,Negative
extracurricular activities increases mental and physical abilities,Extra-Curricular Activities,Positive
Yes,Extra-Curricular Activities,Positive
No views,Extra-Curricular Activities,Neutral
No idea about the extracurricular activities.,Extra-Curricular Activities,Neutral
Good it provides a great platform,Extra-Curricular Activities,Positive
While coming to extracurriculum activities it's better than any other university which I had come around.,Extra-Curricular Activities,Positive
Awesome,Extra-Curricular Activities,Positive
ok,Extra-Curricular Activities,Positive
This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels.,Extra-Curricular Activities,Positive
Great job,Extra-Curricular Activities,Positive
excellent,Extra-Curricular Activities,Positive
Its give various opportunities and exposure,Extra-Curricular Activities,Positive
This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.,Extra-Curricular Activities,Neutral
Good.,Extra-Curricular Activities,Positive
extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,Extra-Curricular Activities,Positive
They are really very intersting. All the students enjoys alot and get a chance to showcase there talent,Extra-Curricular Activities,Positive
its good for refreshment,Extra-Curricular Activities,Positive
"It's appreciable
Students who are having interest in co curricular activities, getting a good platform",Extra-Curricular Activities,Positive
All good,Extra-Curricular Activities,Positive
Good but lacks audience.....as only participants can see these activities on duty leave basis,Extra-Curricular Activities,Neutral
Perfect,Extra-Curricular Activities,Positive
All the activities are gud and appropriate for students,Extra-Curricular Activities,Positive
very good,Extra-Curricular Activities,Positive
"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx",Extra-Curricular Activities,Neutral
Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good.,Extra-Curricular Activities,Negative
extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,Extra-Curricular Activities,Negative
they are amazing and help to boost our stamina.,Extra-Curricular Activities,Positive
increasing confidence,Extra-Curricular Activities,Positive
average,Extra-Curricular Activities,Neutral
best,Extra-Curricular Activities,Positive
good,Extra-Curricular Activities,Positive
extracurricular activities are good.,Extra-Curricular Activities,Positive
"good it is, but teachers do not consider the new ones.",Extra-Curricular Activities,Neutral
it is good,Extra-Curricular Activities,Positive
extracurrcular activities held in university is good.,Extra-Curricular Activities,Positive
"super, the extracurricular activities held in university. So that student can show the efforts in other fields.",Extra-Curricular Activities,Positive
good and ample number of extracurricular activities take place,Extra-Curricular Activities,Positive
they are good but they should give exposure to more students and not the same.,Extra-Curricular Activities,Neutral
I donot participate,Extra-Curricular Activities,Neutral
all are enough,Extra-Curricular Activities,Positive
all activities are good,Extra-Curricular Activities,Positive
More than best,Extra-Curricular Activities,Positive
Its upto mark and very efficiently held in our university,Extra-Curricular Activities,Positive
provides good platform to interested students,Extra-Curricular Activities,Positive
no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,Extra-Curricular Activities,Negative
"the activities are very good but no time is given to students for participation, so its of no use",Extra-Curricular Activities,Negative
lot of activities and students get exposure in games.,Extra-Curricular Activities,Positive
too many activities are conducted and student get ample amount of opportunities to participate,Extra-Curricular Activities,Positive
they are going excellent,Extra-Curricular Activities,Positive
not much interested,Extra-Curricular Activities,Neutral
Excellent,Extra-Curricular Activities,Positive
bcoz of lectures..we don't get time to participate..,Extra-Curricular Activities,Negative
Average,Extra-Curricular Activities,Neutral
good.,Extra-Curricular Activities,Positive
i also want to participate in that activities but i can't take part in those activities because I'm a day scholar,Extra-Curricular Activities,Negative
Extracurricular activities are good and provide a  good platform.,Extra-Curricular Activities,Positive
It is good,Extra-Curricular Activities,Positive
that's  great,Extra-Curricular Activities,Positive
hahahah,Extra-Curricular Activities,Neutral
very good it is a good oppurtunities to many students,Extra-Curricular Activities,Positive
there are many oppertunities for students .. its all upon students about how they utilize them.,Extra-Curricular Activities,Positive
It is excellent.,Extra-Curricular Activities,Positive
Poor,Extra-Curricular Activities,Neutral
some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature,Extra-Curricular Activities,Positive
IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,Extra-Curricular Activities,Positive
excelent,Extra-Curricular Activities,Positive
Quite a lot of events are organized and students have a all round growth which is a nice thing.,Extra-Curricular Activities,Positive
Activities are not up to the mark as  advertisement.,Extra-Curricular Activities,Negative
very well,Extra-Curricular Activities,Positive
It's good but we don't get sufficient time for participating in that activities,Extra-Curricular Activities,Neutral
unbiased,Extra-Curricular Activities,Positive
LPU gives the best opportunity for the students to show their talent.,Extra-Curricular Activities,Positive
these are very usefull to students .excellent,Extra-Curricular Activities,Positive
"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5",Extra-Curricular Activities,Neutral
these are very use full to the sudents forphysical activity and improvement of knowledge,Extra-Curricular Activities,Positive
Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses,Extra-Curricular Activities,Negative
it helps in building up university's reputation.,Extra-Curricular Activities,Positive
It was quite great and unique.,Extra-Curricular Activities,Positive
EXTRAORDINARY,Extra-Curricular Activities,Positive
they are good,Extra-Curricular Activities,Positive
it was quite great and unique,Extra-Curricular Activities,Positive
Very good,Extra-Curricular Activities,Positive
"it is relly awesome,extirdinary and marvellous but no time to attend",Extra-Curricular Activities,Positive
nice,Extra-Curricular Activities,Positive
that is only good in this university,Extra-Curricular Activities,Positive
excellent..... u r the best in providing facilties and etc .. for extra curricular activities,Extra-Curricular Activities,Positive
extracurricular activities are also good,Extra-Curricular Activities,Positive
university offers alkot of activities which is excellent on their part as students are able to explore themselves,Extra-Curricular Activities,Positive
super,Extra-Curricular Activities,Positive
Extracurricular activities are good. It helps people to know their talent and build up their skills.,Extra-Curricular Activities,Positive
I am really enjoying,Extra-Curricular Activities,Positive
i felt happy because it encourages our talents,Extra-Curricular Activities,Positive
Outstanding,Extra-Curricular Activities,Positive
better,Extra-Curricular Activities,Positive
excellent  simply superb,Extra-Curricular Activities,Positive
"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket.",Extra-Curricular Activities,Negative
not every one is getting opportunities here only recommended students getting.,Extra-Curricular Activities,Negative
it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.,Extra-Curricular Activities,Positive
They are sportive,Extra-Curricular Activities,Positive
One of the best things I like about this university. The best of all.,Extra-Curricular Activities,Positive
They are extraordinary,Extra-Curricular Activities,Positive
extra curricular are so good. university is providing many pathways to many students....apart from education,Extra-Curricular Activities,Positive
good they are knowledgebale and helps us interacting with other students,Extra-Curricular Activities,Positive
in this university there is lot of events and lot of extra curriclar activities....,Extra-Curricular Activities,Positive
The best,Extra-Curricular Activities,Positive
good..,Extra-Curricular Activities,Positive
excllent,Extra-Curricular Activities,Positive
VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.,Extra-Curricular Activities,Negative
Yes.,Extra-Curricular Activities,Positive
VERY GOOD,Extra-Curricular Activities,Positive
they all are held in super,Extra-Curricular Activities,Positive
the extracurricular activities held in university  are very enjoyable and good,Extra-Curricular Activities,Positive
Our university has lot of extracurricular going on and it helps us a lot.,Extra-Curricular Activities,Positive
IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT,Extra-Curricular Activities,Positive
